loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
116.73395244891827,45975.91796875,2.741379310344828e-05,1.0,13,,,,,,,,,
,,,1.0,13,10.764667510986328,2.4396,8.608,8.608,,,,,
111.97964242788461,91599.875,2.0689655172413797e-05,2.0,26,,,,,,,,,
,,,2.0,26,10.372594833374023,3.1723,6.62,6.62,,,,,
112.78920335036058,45678.171875,1.396551724137931e-05,3.0,39,,,,,,,,,
,,,3.0,39,9.554878234863281,2.7186,7.725,7.725,,,,,
105.89309457632211,43157.90625,7.241379310344828e-06,4.0,52,,,,,,,,,
,,,4.0,52,9.428156852722168,2.9042,7.231,7.231,,,,,
102.3280029296875,35803.55078125,5.172413793103448e-07,5.0,65,,,,,,,,,
,,,5.0,65,9.401823043823242,2.5319,8.294,8.294,,,,,
,,,5.0,65,,,,,1092.0284,0.458,0.06,599523065856000.0,109.94477914663462
