loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
117.94793231670673,24034.44921875,2.741379310344828e-05,1.0,13,,,,,,,,,
,,,1.0,13,10.031327247619629,4.0527,5.182,5.182,,,,,
104.7342529296875,58380.984375,2.0689655172413797e-05,2.0,26,,,,,,,,,
,,,2.0,26,9.548325538635254,4.1413,5.071,5.071,,,,,
105.25550255408653,18687.46875,1.396551724137931e-05,3.0,39,,,,,,,,,
,,,3.0,39,9.871416091918945,4.0748,5.154,5.154,,,,,
99.54759803185097,64264.0703125,7.241379310344828e-06,4.0,52,,,,,,,,,
,,,4.0,52,9.111289978027344,4.063,5.169,5.169,,,,,
100.78067720853366,31814.3671875,5.172413793103448e-07,5.0,65,,,,,,,,,
,,,5.0,65,9.04640007019043,4.1379,5.075,5.075,,,,,
,,,5.0,65,,,,,544.395,0.918,0.119,1197664418396160.0,105.65319260817307
