loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
23.29348388671875,22.519268035888672,0.00023999999999999998,1.0,25,,,,,,,,,
,,,1.0,25,5.067833423614502,1.2588,16.683,16.683,,,,,
19.47421875,26.187028884887695,0.00027888888888888885,2.0,50,,,,,,,,,
,,,2.0,50,4.341151237487793,1.3462,15.599,15.599,,,,,
17.014658203125,15.546388626098633,0.0002511111111111111,3.0,75,,,,,,,,,
,,,3.0,75,4.069013595581055,0.725,28.964,28.964,,,,,
15.2500927734375,17.41303253173828,0.00022333333333333333,4.0,100,,,,,,,,,
,,,4.0,100,3.9485292434692383,0.7444,28.21,28.21,,,,,
14.182430419921875,15.167342185974121,0.00019555555555555556,5.0,125,,,,,,,,,
,,,5.0,125,3.859020709991455,0.7564,27.761,27.761,,,,,
13.228433837890625,15.016013145446777,0.00016777777777777776,6.0,150,,,,,,,,,
,,,6.0,150,3.820707082748413,0.9554,21.98,21.98,,,,,
12.405848388671876,12.736663818359375,0.00014,7.0,175,,,,,,,,,
,,,7.0,175,3.790537118911743,2.1056,9.974,9.974,,,,,
11.85158447265625,16.691730499267578,0.0001122222222222222,8.0,200,,,,,,,,,
,,,8.0,200,3.7920680046081543,0.7554,27.8,27.8,,,,,
11.4169482421875,15.806731224060059,8.444444444444444e-05,9.0,225,,,,,,,,,
,,,9.0,225,3.8250038623809814,1.9699,10.66,10.66,,,,,
11.06292236328125,12.735984802246094,5.666666666666666e-05,10.0,250,,,,,,,,,
,,,10.0,250,3.8035826683044434,0.7339,28.615,28.615,,,,,
,,,10.0,250,,,,,524.3725,2.288,0.572,528646419456000.0,14.918062133789062
